from_vertex_id;to_vertex_id;one_way;weight;geom
8149;15932;FT;8.938442;LINESTRING(37.584678 55.737862,37.584784 55.737910,37.584789 55.737913)
8149;8150;FT;15.070687;LINESTRING(37.584678 55.737862,37.584784 55.737910,37.584865 55.737947)
3553;3554;FT;10.183348;LINESTRING(37.626429 55.731745,37.626460 55.731779,37.626509 55.731825)
18893;7605;FT;12.645347;LINESTRING(37.615495 55.742423,37.615531 55.742378,37.615427 55.742350)
18893;6107;FT;8.972592;LINESTRING(37.615495 55.742423,37.615531 55.742378,37.615556 55.742350)
9430;9432;FT;86.504988;LINESTRING(37.571191 55.748207,37.570159 55.748146,37.569839 55.748219)
18542;18544;FT;28.563609;LINESTRING(37.630021 55.729873,37.629957 55.730044,37.629920 55.730123)
24848;10267;FT;29.967454;LINESTRING(37.668979 55.769679,37.669250 55.769673,37.669457 55.769669)
8554;8555;FT;22.161096;LINESTRING(37.675106 55.746916,37.675301 55.746921,37.675460 55.746921)
12105;13023;FT;8.429537;LINESTRING(37.660787 55.748689,37.660740 55.748707,37.660692 55.748673)
12105;13024;FT;7.666156;LINESTRING(37.660787 55.748689,37.660740 55.748707,37.660779 55.748737)
25053;25054;FT;19.079456;LINESTRING(37.627040 55.749819,37.627191 55.749821,37.627344 55.749820)
25624;25622;FT;26.985430;LINESTRING(37.601029 55.754445,37.601034 55.754355,37.601041 55.754202)
7539;7537;FT;7.795330;LINESTRING(37.617255 55.768377,37.617280 55.768420,37.617294 55.768444)
19248;19246;FT;21.836024;LINESTRING(37.604840 55.771520,37.604794 55.771632,37.604761 55.771711)
17280;9704;FT;2.792850;LINESTRING(37.632105 55.733350,37.632088 55.733358,37.632068 55.733363)
7187;7188;FT;8.272606;LINESTRING(37.667614 55.749362,37.667553 55.749352,37.667485 55.749347)
5408;5409;FT;7.263863;LINESTRING(37.597238 55.750708,37.597234 55.750765,37.597233 55.750773)
8953;18725;FT;32.720839;LINESTRING(37.580244 55.752154,37.580252 55.752189,37.580713 55.752192)
1705;1703;FT;2.915375;LINESTRING(37.642411 55.763404,37.642397 55.763396,37.642379 55.763385)
21788;21789;FT;31.833133;LINESTRING(37.571761 55.750842,37.571588 55.750982,37.571469 55.751076)
1352;1353;FT;1.302421;LINESTRING(37.624874 55.763378,37.624870 55.763378,37.624854 55.763379)
8826;8828;FT;8.199151;LINESTRING(37.576480 55.767221,37.576542 55.767219,37.576611 55.767218)
20273;24595;FT;20.516137;LINESTRING(37.665875 55.753041,37.665896 55.753046,37.666158 55.753133)
5535;5536;FT;21.499097;LINESTRING(37.593506 55.756257,37.593443 55.756270,37.593190 55.756333)
19730;9644;FT;15.638397;LINESTRING(37.657997 55.758403,37.657884 55.758404,37.657747 55.758405)
19730;18370;FT;30.795701;LINESTRING(37.657997 55.758403,37.657884 55.758404,37.657875 55.758618)
2275;2276;FT;12.461191;LINESTRING(37.619895 55.730008,37.619961 55.730022,37.620089 55.730027)
14009;11201;FT;6.273038;LINESTRING(37.578575 55.758164,37.578576 55.758203,37.578577 55.758221)
14009;23363;FT;11.486398;LINESTRING(37.578575 55.758164,37.578576 55.758203,37.578687 55.758185)
286;287;FT;38.137046;LINESTRING(37.638913 55.758244,37.639190 55.758309,37.639476 55.758376)
12604;23194;FT;64.922322;LINESTRING(37.695633 55.758507,37.695609 55.758487,37.696467 55.758205)
13573;13574;FT;195.604166;LINESTRING(37.648358 55.732274,37.647971 55.732941,37.647341 55.733938)
6085;6083;FT;23.791976;LINESTRING(37.661002 55.751916,37.661065 55.751876,37.661272 55.751765)
11283;11281;FT;52.406170;LINESTRING(37.614243 55.729802,37.614223 55.729427,37.614214 55.729331)
10807;10808;FT;150.654821;LINESTRING(37.587662 55.752674,37.585997 55.752672,37.585255 55.752669)
8584;8582;FT;131.512226;LINESTRING(37.698362 55.730476,37.700432 55.730571,37.700455 55.730572)
24228;24229;FT;7.226731;LINESTRING(37.624930 55.748424,37.624993 55.748405,37.625031 55.748392)
